"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 29 01:07:32 EEST 2022","Sat Oct 29 01:07:32 EEST 2022","29","","Telnyx main page test","","Telnyx main page test","should detect if the Facebook link is clickable","should detect if the Facebook link is clickable",""
"passed","Sat Oct 29 01:07:33 EEST 2022","Sat Oct 29 01:07:33 EEST 2022","182","","Telnyx main page test","","Telnyx main page test","should detect if the footer is visible","should detect if the footer is visible",""
"passed","Fri Oct 28 19:04:28 EEST 2022","Fri Oct 28 19:04:28 EEST 2022","31","","Telnyx main page test","","Telnyx main page test","should detect if the header menu is visible","should detect if the header menu is visible",""
"passed","Sat Oct 29 01:07:33 EEST 2022","Sat Oct 29 01:07:33 EEST 2022","50","","Telnyx main page test","","Telnyx main page test","should detect if the Facebook link is clickable","should detect if the Facebook link is clickable",""
"skipped","Fri Oct 28 19:01:51 EEST 2022","Fri Oct 28 19:01:51 EEST 2022","0","","Telnyx header test","","Telnyx header test","should detect if the Sign up button is clickable","should detect if the Sign up button is clickable",""
"passed","Wed Oct 26 10:28:56 EEST 2022","Wed Oct 26 10:29:00 EEST 2022","4037","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Oct 28 13:18:47 EEST 2022","Fri Oct 28 13:18:47 EEST 2022","181","","Telnyx main page test","","Telnyx main page test","Checks if ""Telnyx"" logo botton returns to the main page.","Checks if ""Telnyx"" logo botton returns to the main page.",""
"skipped","Fri Oct 28 18:24:41 EEST 2022","Fri Oct 28 18:24:41 EEST 2022","1","","Telnyx main page test","","Telnyx main page test","should detect if the footer is visible","should detect if the footer is visible",""
"passed","Fri Oct 28 17:33:17 EEST 2022","Fri Oct 28 17:33:17 EEST 2022","238","","Telnyx main page test","","Telnyx main page test","should detect the focus of the Products section","should detect the focus of the Products section",""
"skipped","Fri Oct 28 19:03:20 EEST 2022","Fri Oct 28 19:03:20 EEST 2022","0","","Telnyx Login page test","","Telnyx Login page test","Checks if login page has a specific title.","Checks if login page has a specific title.",""
"passed","Sat Oct 29 01:07:56 EEST 2022","Sat Oct 29 01:07:56 EEST 2022","29","","Telnyx main page test","","Telnyx main page test","Checks if main page is on a specific page.","Checks if main page is on a specific page.",""
"skipped","Fri Oct 28 19:03:20 EEST 2022","Fri Oct 28 19:03:20 EEST 2022","0","","Telnyx Login page test","","Telnyx Login page test","Checks if the ""Telnyx"" logo button refreshes the page.","Checks if the ""Telnyx"" logo button refreshes the page.",""
"skipped","Fri Oct 28 08:44:40 EEST 2022","Fri Oct 28 08:44:40 EEST 2022","1","","Telnyx main page test","","Telnyx main page test","should login with valid credentials","should login with valid credentials",""
